;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
330;19,0;39,86538205234864;40,84484994232277;48,06048487617254;44,73017265194078;40,15915529002113;30,719423904108744;18,768186538630314;12,730248431097426;-51,321198566296104;-43,15030175918528;-36,32959861247399;-31,77186452020051;-28,489737167279724;1,0;3,0
331;19,0;41,08921683111749;44,96937800513375;53,054635439694195;49,49932564933812;41,52870472009723;33,246320591980655;21,0113639974748;18,19048574833958;-46,67212694029891;-38,66773144096018;-32,41160556428931;-27,747478445820054;-24,305787960167315;1,5;4,0
332;19,0;43,026076701851565;48,73674903565451;54,712866847417374;52,264560565088196;44,285104007513276;38,60655972339605;25,07847671499104;19,337890973237;-44,82584171392076;-36,715902682939756;-29,910065065617513;-25,088502019346414;-21,826073968417404;2,0;5,0
333;19,0;42,229457729937764;47,442628405755045;55,4819232861701;58,19188838094014;52,75338853500444;46,677686987435294;34,846565841243574;28,45618379830446;-40,82467341766925;-32,601774298564116;-25,818337447072643;-21,13322106497746;-18,166334611363027;2,5;6,0
334;19,0;41,23426493117744;49,90636041153681;56,35162369027749;55,95151281109732;49,67403286565278;41,41721084716875;30,618234821221748;23,26618541762692;-42,35019852575361;-34,03737892783052;-27,257117140644965;-22,574562891953263;-19,345880135025645;3,0;7,0
335;19,0;44,200785131979586;50,97110343382036;57,32523753567719;56,127597803248605;49,06634058664178;43,591944592926026;33,190561230549825;23,258892422179564;-41,459403317905384;-33,0783104820136;-26,726584582872412;-22,20292556546878;-18,704188533886832;3,5;8,0
336;19,0;42,04719980536104;48,453759290862905;58,318968066536684;53,27810913752204;48,371253340708826;39,86472971495958;27,589567119955632;20,225496759184857;-42,35019852575361;-34,22621005248735;-27,695891718753746;-22,976806900892228;-19,447265297315482;4,0;9,0
337;19,0;43,49286106488886;46,97160488794104;55,63564225971945;55,59032306427753;48,11276419500122;38,71246098634283;28,151428156770923;19,080275778013917;-43,700723232210535;-35,32974147407113;-28,69286336086743;-23,83158656838418;-19,964552883014345;4,5;10,0
338;19,0;43,746257922174536;45,676237470305836;59,658352626200696;55,27161456558424;49,84650846977566;41,13293780972174;30,922545947284334;24,50862295324667;-40,82467341766925;-32,738562789170224;-26,259232357992488;-21,500263377078884;-18,239615504517584;5,0;11,0
339;19,0;44,57121243216983;47,73582525494608;55,76018250424268;56,3201119923399;51,72772809364134;44,97531236505711;34,83774318135737;25,82893972519836;-40,82467341766925;-32,912634539607794;-26,49676274292226;-22,059787750595135;-19,00503438807587;5,5;12,0
340;19,0;44,099584069504765;45,83176606928327;53,38847285057304;54,513801644901356;50,622597910044114;40,029281441132554;29,611203358070405;25,895596328880828;-43,42115322549215;-35,438803404625766;-28,989939092916966;-24,249399964229376;-21,052057982560886;6,0;13,0
341;19,0;45,00294759176961;45,32538132559709;54,42960304360508;54,36698172806431;48,34018533907245;37,25860790496022;26,273562718922072;26,16278930764082;-43,700723232210535;-35,438803404625766;-29,046086768831763;-24,494953833437272;-21,172571738762386;6,5;14,0
342;19,0;45,53866831633013;49,43601127304818;59,15739148582475;56,79890601113186;49,89961095945319;41,94465493968217;32,467398837798825;23,205377427694472;-40,274221864381666;-32,42267744550559;-25,568182871610542;-20,947962870109606;-17,873014219141005;7,0;15,0
343;19,0;44,170396073181244;49,97293337554681;58,842675276272935;63,47408246518688;50,062541557710546;42,572752353663745;33,72500306882097;26,47914540504651;-36,612091466306104;-28,790763469538806;-22,41646341375018;-17,491423125161994;-14,409483818171726;7,5;16,0
344;19,0;45,24102307858147;46,9903696369946;58,59609450238003;57,7144657867227;50,97924287844084;41,45716341618822;31,786536647103464;27,562271485689593;-41,242631898253606;-33,32061042325637;-26,446506732105128;-21,34724536534754;-17,958508001468513;8,0;17,0
345;19,0;44,992200750213755;48,476329869681535;58,72299911154529;56,539536616774654;51,437071130226066;40,30364011278179;31,11955999412828;27,338656166414115;-40,260456299505705;-32,534179485536505;-26,24290718780001;-21,233461505385517;-18,034275873956933;8,5;18,0
346;20,0;33,826527143748194;44,44051512708776;52,35007612554887;63,85653152721684;54,075796859400796;50,96697377939984;34,655023109040556;23,011100891195333;-39,912438823679985;-31,669676404630906;-25,198724442803695;-20,580389122105682;-16,876286767151765;0,0;1,0
347;20,0;20,666344682830623;43,10334848261004;49,196095181491515;56,72547074309434;63,97311498454286;58,156413683255295;37,54247771555172;15,512857598964509;-41,94297287279945;-33,56986395800335;-26,443723685025567;-19,994170365807054;-15,24346729550599;0,5;2,0
348;20,0;24,14920275351916;39,49313836033625;47,38667622843033;54,72459968338367;50,82073954641112;46,40650017921325;27,38381881896995;12,793008688997174;-52,46710664538475;-44,33193717100022;-37,20623000296672;-30,39629480724336;-24,43732842927202;1,0;3,0
349;20,0;16,025862052265772;41,97252236268342;45,36902031451545;51,69874849475036;56,67536896338337;49,21915566951241;34,20535185534346;12,312812191780026;-51,41934525619099;-43,0744419788425;-35,80710827756498;-28,719947357912645;-22,426972658393467;1,5;4,0
350;20,0;18,351767973926265;40,606676730739636;50,11718509139016;57,139108204966305;51,79233806514864;47,73682551830659;36,87173315141046;17,26571158249843;-47,20227794989312;-38,55477939881613;-32,345469029240824;-27,22051923690142;-22,675147927500444;2,0;5,0
351;20,0;15,241260054370123;28,03363259922598;36,78670843979808;41,05358895238746;40,40410723295444;35,669189331454064;24,02975013984651;9,545310824462051;-63,86461280451598;-55,345238159070355;-47,831965879852646;-41,36583807234998;-36,364411844;2,5;6,0
352;20,0;12,467767925718354;34,10948683017455;43,45021047715623;50,335368572784446;39,211714210259785;42,68622549726871;30,359758213615304;9,430857589557268;-59,42763781218885;-51,224148510407865;-43,50011640239199;-36,277638998075815;-29,737573645343605;3,0;7,0
353;20,0;13,606737934025654;31,159457768640838;43,19107133058333;48,46779507099587;36,36958376546323;36,59779165784178;31,862766977023483;13,263466714487622;-56,68417395168262;-48,37079843903324;-41,091041844063405;-35,533387529506975;-31,508635599041096;3,5;8,0
354;20,0;14,412764135704048;33,54329337959785;44,07851081796657;52,46043127000533;41,40460887497141;40,33794287604447;28,51726896754043;11,193536592320259;-58,48770655866438;-50,22257122354151;-42,850758639792225;-36,32959861247399;-30,19680979198875;4,0;9,0
355;20,0;15,45181491602442;32,37062655365814;38,76923911444947;47,96316780736669;47,82502501133038;42,62345942373082;31,862153887333243;15,649802915238539;-54,322187710122726;-46,012121738240396;-38,48770655866438;-32,72995152918723;-28,517961041465277;4,5;10,0
356;20,0;13,117115003568935;32,0135237286886;44,39045099475279;48,581997105936104;44,747082202575406;45,95355796360408;37,4616016050524;15,845556252751905;-56,68417395168262;-48,232924280075224;-41,36583807234998;-34,64522487768921;-29,426046281619904;5,0;11,0
357;20,0;16,085608794377062;35,039586386850786;41,941074825864845;54,87530665981292;56,28790937266636;54,88294845368162;41,208412860041925;18,938676184386505;-47,20227794989312;-38,57725260575926;-30,892766481744005;-24,271044355290194;-19,823673323854784;5,5;12,0
358;20,0;24,518078926436925;43,51227755170954;51,22457375108365;61,485562163231734;57,02936815670698;53,45401556417482;37,421480549159696;19,075572407425366;-45,15542720181067;-36,648057934417366;-28,849303806635753;-21,855561197818112;-17,20219547953438;6,0;13,0
359;20,0;26,97559297965949;43,36472497520429;60,000926090043436;60,61193886340029;53,12180609040559;52,248972373054904;37,04864615580048;20,071025451030028;-44,24507755078458;-35,80710827756498;-27,825437589700854;-21,061038741215235;-16,82463978766036;6,5;14,0
360;20,0;19,76929615968884;43,08488695397972;58,70546347337908;59,713450198880274;52,049796756957896;50,04586613941606;38,591894846002674;16,2524203170561;-41,64961288170624;-33,44434313723417;-26,660705650503278;-21,844900798656084;-18,672052749410057;7,0;15,0
361;20,0;25,662540378544048;43,16041634664599;54,57128801080454;54,39842565582922;48,46798931670384;46,30836894971823;34,91172357995039;17,33009912618438;-46,06524661111521;-38,44327735878522;-31,79244720669951;-26,97447758759332;-23,436888537110924;7,5;16,0
362;20,0;19,033706412600452;38,625679482558446;47,470702832397286;59,18020213892977;53,05317049502264;50,610201204546364;37,702753767013206;17,154984621736208;-46,17248117855737;-37,80274967996088;-30,892766481744005;-25,369184714363364;-21,16044484026467;8,0;17,0
363;20,0;22,87428850872947;39,74086108495771;47,409738448637626;55,16308809143854;55,57247056240612;50,1441954256904;34,54044400346897;13,494764208701424;-45,15542720181067;-37,20623000296672;-30,50222160344233;-25,5732167110085;-21,82443728527476;8,5;18,0
